Product Name,Total Sales,Average Sales,Order Count,Cluster
"""While you Were Out"" Message Book, One Form per Page",25.228,8.409333333333334,3,0
"#10 Gummed Flap White Envelopes, 100/Box",41.3,10.325,4,0
#10 Self-Seal White Envelopes,108.682,27.1705,4,0
"#10 White Business Envelopes,4 1/8 x 9 1/2",379.214,63.202333333333335,6,0
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,28.6672,10,0
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,18.336,8,0
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,88.144,2,0
#6 3/4 Gummed Flap White Envelopes,71.28,17.82,4,0
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,451.0133333333333,6,0
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004,24.990000000000002,2,0
12 Colored Short Pencils,18.2,6.066666666666666,3,0
12-1/2 Diameter Round Wall Clock,551.448,68.931,8,0
14-7/8 x 11 Blue Bar Computer Printout Paper,422.752,105.688,4,0
2300 Heavy-Duty Transfer File Systems by Perma,344.724,86.181,4,0
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,884.31,4,0
24-Hour Round Wall Clock,487.512,81.252,6,0
3-ring staple pack,42.111999999999995,7.0186666666666655,6,0
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,589.24,5,0
36X48 HARDFLOOR CHAIRMAT,369.24800000000005,61.54133333333334,6,0
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,7149.945,2,2
"3D Systems Cube Printer, 2nd Generation, White",2339.982,1169.991,2,0
3M Hangers With Command Adhesive,108.03999999999999,13.504999999999999,8,0
3M Office Air Cleaner,259.8,129.9,2,0
3M Organizer Strips,83.16,11.879999999999999,7,0
3M Polarizing Light Filter Sleeves,216.34,54.085,4,0
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,547.92,4,0
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,75.84,4,0
4009 Highlighters,8.04,8.04,1,0
4009 Highlighters by Sanford,171.14,21.3925,8,0
50 Colored Long Pencils,138.176,27.635199999999998,5,0
"6"" Cubicle Wall Clock, Black",100.316,33.43866666666667,3,0
9-3/4 Diameter Round Wall Clock,455.07,56.88375,8,0
"ACCOHIDE 3-Ring Binder, Blue, 1""",147.028,11.309846153846154,13,0
ACCOHIDE Binder by Acco,65.25399999999999,16.313499999999998,4,0
APC 7 Outlet Network SurgeArrest Surge Protector,1207.2,150.9,8,0
ARKON Windshield Dashboard Air Vent Car Mount Holder,149.16,49.72,3,0
AT&T 1070 Corded Phone,1070.304,356.76800000000003,3,0
AT&T 1080 Corded phone,1945.258,277.894,7,0
AT&T 1080 Phone,1589.084,529.6946666666666,3,0
AT&T 17929 Lendline Telephone,1339.104,133.9104,10,0
AT&T 841000 Phone,1614.6,230.65714285714284,7,0
AT&T CL2909,755.9399999999999,251.98,3,0
AT&T CL82213,481.234,96.2468,5,0
AT&T CL83451 4-Handset Telephone,1936.306,484.0765,4,0
AT&T EL51110 DECT,377.97,377.97,1,0
AT&T SB67148 SynJ,475.128,158.376,3,0
AT&T TR1909W,1738.662,434.6655,4,0
Aastra 57i VoIP phone,3426.132,571.022,6,0
Aastra 6757i CT Wireless VoIP phone,2929.984,488.3306666666667,6,0
Acco 3-Hole Punch,137.53199999999998,15.28133333333333,9,0
Acco 6 Outlet Guardian Basic Surge Suppressor,38.272,19.136,2,0
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,289.456,48.24266666666667,6,0
Acco 6 Outlet Guardian Premium Surge Suppressor,432.432,54.054,8,0
Acco 6 Outlet Guardian Standard Surge Suppressor,149.916,29.9832,5,0
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2796.3399999999997,466.0566666666666,6,0
"Acco Banker's Clasps, 5 3/4""-Long",40.896,8.1792,5,0
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",66.03,13.206,5,0
Acco D-Ring Binder w/DublLock,235.18,26.13111111111111,9,0
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",262.836,29.204,9,0
Acco Economy Flexible Poly Round Ring Binder,8.352,2.7840000000000003,3,0
Acco Expandable Hanging Binders,33.176,11.058666666666667,3,0
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",410.004,41.0004,10,0
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",122.18,20.363333333333333,6,0
Acco Glide Clips,19.6,19.6,1,0
Acco Hanging Data Binders,41.910000000000004,5.9871428571428575,7,0
Acco Hot Clips Clips to Go,67.116,11.186,6,0
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",175.388,25.05542857142857,7,0
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",62.946,15.7365,4,0
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",67.25,13.45,5,0
Acco Perma 2700 Stacking Storage Drawers,208.18,52.045,4,0
Acco Perma 3000 Stacking Storage Drawers,373.44399999999996,62.24066666666666,6,0
Acco Perma 4000 Stacking Storage Drawers,457.96799999999996,41.63345454545454,11,0
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",59.817,11.9634,5,0
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",63.627,7.953375,8,0
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",131.097,11.917909090909092,11,0
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",91.44,10.16,9,0
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",85.255,21.31375,4,0
Acco Side-Punched Conventional Columnar Pads,41.64,10.41,4,0
"Acco Six-Outlet Power Strip, 4' Cord Length",299.976,37.497,8,0
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,448.902,112.2255,4,0
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",452.96500000000003,150.98833333333334,3,0
Acco Suede Grain Vinyl Round Ring Binder,38.641999999999996,4.8302499999999995,8,0
Acco Translucent Poly Ring Binders,77.68799999999999,11.098285714285712,7,0
Accohide Poly Flexible Ring Binders,43.758,5.46975,8,0
"Acme 10"" Easy Grip Assistive Scissors",448.76800000000003,56.096000000000004,8,0
Acme Box Cutter Scissors,255.75,51.15,5,0
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",45.144,15.048,3,0
Acme Design Stainless Steel Bent Scissors,88.92,29.64,3,0
Acme Elite Stainless Steel Scissors,95.076,19.0152,5,0
Acme Forged Steel Scissors with Black Enamel Handles,279.3,34.9125,8,0
Acme Galleria Hot Forged Steel Scissors with Colored Handles,195.05200000000002,65.01733333333334,3,0
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",305.8,61.160000000000004,5,0
Acme Kleen Earth Office Shears,44.232,8.8464,5,0
Acme Kleencut Forged Steel Scissors,35.587999999999994,11.862666666666664,3,0
Acme Office Executive Series Stainless Steel Trimmers,159.402,22.771714285714285,7,0
Acme Preferred Stainless Steel Scissors,90.88,22.72,4,0
Acme Rosewood Handle Letter Opener,43.67,14.556666666666667,3,0
Acme Serrated Blade Letter Opener,7.632,7.632,1,0
Acme Softgrip Scissors,166.056,41.514,4,0
Acme Stainless Steel Office Snips,81.424,20.356,4,0
Acme Tagit Stainless Steel Antibacterial Scissors,196.01999999999998,32.669999999999995,6,0
Acme Titanium Bonded Scissors,102.0,20.4,5,0
Acme Value Line Scissors,69.35,7.705555555555555,9,0
Acrylic Self-Standing Desk Frames,93.984,11.748,8,0
"Adams ""While You Were Out"" Message Pads",72.848,14.5696,5,0
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",227.04,28.38,8,0
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",94.928,31.642666666666667,3,0
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",172.672,24.66742857142857,7,0
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",132.888,13.2888,10,0
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",223.44,31.919999999999998,7,0
"Adams Telephone Message Books, 5 1/4” x 11”",80.936,16.1872,5,0
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",40.896,13.632,3,0
Adjustable Depth Letter/Legal Cart,7439.860000000001,676.3509090909091,11,2
Adjustable Personal File Tote,270.24800000000005,54.04960000000001,5,0
Adtran 1202752G1,1990.6419999999998,398.12839999999994,5,0
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1051.7759999999998,262.94399999999996,4,0
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",649.53,162.3825,4,0
Advantus Map Pennant Flags and Round Head Tacks,87.69,14.615,6,0
Advantus Motivational Note Cards,227.94,45.588,5,0
Advantus Panel Wall Acrylic Frame,87.52,17.503999999999998,5,0
Advantus Panel Wall Certificate Holder - 8.5x11,270.84,45.13999999999999,6,0
Advantus Plastic Paper Clips,225.0,22.5,10,0
Advantus Push Pins,54.936,7.848,7,0
"Advantus Push Pins, Aluminum Head",139.44,27.887999999999998,5,0
Advantus Rolling Drawer Organizers,1115.92,185.98666666666668,6,0
Advantus Rolling Storage Box,428.75,42.875,10,0
Advantus SlideClip Paper Clips,46.376000000000005,15.458666666666668,3,0
Advantus T-Pin Paper Clips,64.042,12.8084,5,0
Airmail Envelopes,1359.6660000000002,226.61100000000002,6,0
Akro Stacking Bins,91.524,15.254,6,0
Akro-Mils 12-Gallon Tote,113.202,28.3005,4,0
"Alliance Big Bands Rubber Bands, 12/Pack",9.9,4.95,2,0
Alliance Rubber Bands,13.440000000000001,6.720000000000001,2,0
"Alliance Super-Size Bands, Assorted Sizes",197.61200000000002,49.403000000000006,4,0
Alphabetical Labels for Top Tab Filing,488.4,61.05,8,0
Aluminum Document Frame,244.39999999999998,48.879999999999995,5,0
Aluminum Screw Posts,354.032,32.18472727272727,11,0
AmazonBasics 3-Button USB Wired Mouse,88.074,17.6148,5,0
American Pencil,48.93,8.155,6,0
Ames Color-File Green Diamond Border X-ray Mailers,1360.476,340.119,4,0
Ampad #10 Peel & Seel Holiday Envelopes,53.760000000000005,17.92,3,0
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",16.568,5.522666666666667,3,0
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",106.72200000000001,13.340250000000001,8,0
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",124.8,24.96,5,0
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",38.135999999999996,9.533999999999999,4,0
Anderson Hickey Conga Table Tops & Accessories,51.782,25.891,2,0
"Angle-D Binders with Locking Rings, Label Holders",197.82999999999998,19.782999999999998,10,0
Angle-D Ring Binders,39.384,6.564,6,0
Anker 24W Portable Micro USB Car Charger,61.544,30.772,2,0
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,339.83,56.63833333333333,6,0
Anker Astro 15000mAh USB Portable Charger,599.88,119.976,5,0
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,147.926,36.9815,4,0
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,499.75,99.95,5,0
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,491.836,122.959,4,0
Apple EarPods with Remote and Mic,251.91,62.9775,4,0
Apple iPhone 5,12996.600000000002,2166.1000000000004,6,2
Apple iPhone 5C,1339.866,334.9665,4,0
Apple iPhone 5S,4901.914000000001,1225.4785000000002,4,2
Array Memo Cubes,54.908,18.302666666666667,3,0
"Array Parchment Paper, Assorted Colors",62.608,20.869333333333334,3,0
Artistic Insta-Plaque,156.8,52.26666666666667,3,0
Assorted Color Push Pins,34.39,4.29875,8,0
Astroparche Fine Business Paper,144.672,24.112,6,0
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,494.97,4,0
Ativa MDM8000 8-Sheet Micro-Cut Shredder,917.8979999999999,458.94899999999996,2,0
Ativa V4110MDD Micro-Cut Shredder,7699.89,3849.945,2,2
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268,200.0134,2,0
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,942.464025,8,2
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,864.0135,6,2
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,686.610625,8,2
Avanti 1.7 Cu. Ft. Refrigerator,2221.56,555.39,4,0
Avanti 4.4 Cu. Ft. Refrigerator,3511.012,501.5731428571429,7,0
Avaya 4621SW VoIP phone,709.92,177.48,4,0
Avaya 5410 Digital phone,231.166,115.583,2,0
Avaya 5420 Digital phone,1538.886,512.962,3,0
Avaya IP Phone 1140E VoIP phone,1394.95,1394.95,1,0
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",20.65,10.325,2,0
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",137.808,22.968,6,0
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1233.412,112.12836363636364,11,0
Avery 473,248.4,41.4,6,0
Avery 474,78.336,8.704,9,0
Avery 475,266.4,66.6,4,0
Avery 476,120.596,13.399555555555557,9,0
Avery 477,573.9639999999999,143.49099999999999,4,0
Avery 478,88.38,22.095,4,0
Avery 479,16.704,5.5680000000000005,3,0
Avery 48,90.72,30.24,3,0
Avery 480,89.25,14.875,6,0
Avery 481,91.168,18.233600000000003,5,0
Avery 482,11.56,5.78,2,0
Avery 483,83.664,13.944,6,0
Avery 484,9.216,9.216,1,0
Avery 485,639.03,79.87875,8,0
Avery 486,168.13,18.68111111111111,9,0
Avery 487,84.87,12.124285714285715,7,0
Avery 488,51.03,8.505,6,0
Avery 489,159.39,31.877999999999997,5,0
Avery 49,66.816,11.136000000000001,6,0
Avery 490,177.6,35.519999999999996,5,0
Avery 491,45.43,15.143333333333333,3,0
Avery 492,53.568,10.7136,5,0
Avery 493,55.974000000000004,13.993500000000001,4,0
Avery 494,56.376,9.395999999999999,6,0
Avery 495,97.02,24.255,4,0
Avery 496,50.25,12.5625,4,0
Avery 497,24.023999999999997,12.011999999999999,2,0
Avery 498,35.258,11.752666666666668,3,0
Avery 499,176.292,16.026545454545456,11,0
Avery 5,5.76,5.76,1,0
Avery 50,235.564,47.1128,5,0
Avery 500,58.48,29.24,2,0
Avery 501,66.42,8.3025,8,0
Avery 502,17.64,5.88,3,0
Avery 503,124.2,41.4,3,0
Avery 505,372.96000000000004,53.28000000000001,7,0
Avery 506,66.08,22.026666666666667,3,0
Avery 507,24.192,12.096,2,0
Avery 508,87.398,14.566333333333333,6,0
Avery 509,32.364000000000004,8.091000000000001,4,0
Avery 51,95.75999999999999,19.151999999999997,5,0
Avery 510,21.75,7.25,3,0
Avery 511,56.672,9.445333333333332,6,0
Avery 512,84.388,16.8776,5,0
Avery 513,72.708,24.236,3,0
